geolocation_zip_code_prefix,lat,lng,state,city
1001,-23.550380539269455,-46.63402699777831,SP,sao paulo
1002,-23.548551065785627,-46.63507239078997,SP,sao paulo
1003,-23.54897652899767,-46.63531311226845,SP,sao paulo
1004,-23.549534948092827,-46.634770582289825,SP,sao paulo
1005,-23.54961248124544,-46.63653202553522,SP,sao paulo
1006,-23.550317224536894,-46.63622549584506,SP,sao paulo
1007,-23.55034858312654,-46.63734214071785,SP,sao paulo
1008,-23.545395979326535,-46.635598592835734,SP,sao paulo
1009,-23.54693540437998,-46.63658792659698,SP,sao paulo
1010,-23.54565700582837,-46.6346895341229,SP,sao paulo
1011,-23.546690486964888,-46.6354469588072,SP,sao paulo
1012,-23.54774227061568,-46.63488111172018,SP,sao paulo
1013,-23.547307871775622,-46.63423572661436,SP,sao paulo
1014,-23.546065945322862,-46.63358224756194,SP,sao paulo
1015,-23.54797349999999,-46.631701306827225,SP,sao paulo
1016,-23.549251053963594,-46.632135517086056,SP,sao paulo
1017,-23.54968991921072,-46.63111414126611,SP,sao paulo
1018,-23.550598321195395,-46.63188,SP,sao paulo
1019,-23.55166351540767,-46.63093168887411,SP,sao paulo
1020,-23.552494470713864,-46.62960898251487,SP,sao paulo
1021,-23.544184662502165,-46.63214268206478,SP,sao paulo
1022,-23.544497629753597,-46.631461751457095,SP,sao paulo
1023,-23.542092880648095,-46.63137717319231,SP,sao paulo
1024,-23.541389521053937,-46.62989908781218,SP,sao paulo
1025,-23.540410813203355,-46.631264935195325,SP,sao paulo
1026,-23.539439503750906,-46.63284391414975,SP,sao paulo
1027,-23.53801519954993,-46.63043882598531,SP,sao paulo
1028,-23.536027749379617,-46.632878533585306,SP,sao paulo
1029,-23.541095849847075,-46.63297044005707,SP,sao paulo
1030,-23.538399296150907,-46.63297206480466,SP,sao paulo
1031,-23.542520789115148,-46.63533516134283,SP,sao paulo
1032,-23.540742303912527,-46.63525058950317,SP,sao paulo
1033,-23.540035348866123,-46.63581027505907,SP,sao paulo
1034,-23.54239162719593,-46.63745558840666,SP,sao paulo
1035,-23.540983825979165,-46.64256855760085,SP,sao paulo
1036,-23.541700023861782,-46.64131782056096,SP,sao paulo
1037,-23.545410010472594,-46.63881853301754,SP,sao paulo
